Electoral Democracies in Freedom in the World 2025,
Country,Electoral Democracy Designation in FIW 2025
Afghanistan,No
Albania,Yes
Algeria,No
Andorra,Yes
Angola,No
Antigua and Barbuda,Yes
Argentina,Yes
Armenia,Yes
Australia,Yes
Austria,Yes
Azerbaijan,No
Bahamas,Yes
Bahrain,No
Bangladesh,No
Barbados,Yes
Belarus,No
Belgium,Yes
Belize,Yes
Benin,No
Bhutan,Yes
Bolivia,Yes
Bosnia and Herzegovina,No
Botswana,Yes
Brazil,Yes
Brunei,No
Bulgaria,Yes
Burkina Faso,No
Burundi,No
Cabo Verde,Yes
Cambodia,No
Cameroon,No
Canada,Yes
Central African Republic,No
Chad,No
Chile,Yes
China,No
Colombia,Yes
Comoros,No
Congo (Brazzaville),No
Congo (Kinshasa),No
Costa Rica,Yes
Cote d'Ivoire,No
Croatia,Yes
Cuba,No
Cyprus,Yes
Czech Republic,Yes
Denmark,Yes
Djibouti,No
Dominica,Yes
Dominican Republic,Yes
Ecuador,Yes
Egypt,No
El Salvador,No
Equatorial Guinea,No
Eritrea,No
Estonia,Yes
Eswatini,No
Ethiopia,No
Fiji,Yes
Finland,Yes
France,Yes
Gabon,No
Georgia,No
Germany,Yes
Ghana,Yes
Greece,Yes
Grenada,Yes
Guatemala,No
Guinea,No
Guinea-Bissau,No
Guyana,Yes
Haiti,No
Honduras,No
Hungary,Yes
Iceland,Yes
India,Yes
Indonesia,No
Iran,No
Iraq,No
Ireland,Yes
Israel,Yes
Italy,Yes
Jamaica,Yes
Japan,Yes
Jordan,No
Kazakhstan,No
Kenya,No
Kiribati,Yes
Kosovo,Yes
Kuwait,No
Kyrgyzstan,No
Laos,No
Latvia,Yes
Lebanon,No
Lesotho,Yes
Liberia,Yes
Libya,No
Liechtenstein,Yes
Lithuania,Yes
Luxembourg,Yes
Madagascar,No
Malawi,Yes
Malaysia,No
Maldives,No
Mali,No
Malta,Yes
Marshall Islands,Yes
Mauritania,No
Mauritius,Yes
Mexico,Yes
Micronesia,Yes
Moldova,Yes
Monaco,Yes
Mongolia,Yes
Montenegro,Yes
Morocco,No
Mozambique,No
Myanmar,No
Namibia,Yes
Nauru,Yes
Nepal,Yes
Netherlands,Yes
New Zealand,Yes
Nicaragua,No
Niger,No
Nigeria,No
North Korea,No
North Macedonia,Yes
Norway,Yes
Oman,No
Pakistan,No
Palau,Yes
Panama,Yes
Papua New Guinea,No
Paraguay,Yes
Peru,Yes
Philippines,Yes
Poland,Yes
Portugal,Yes
Qatar,No
Romania,Yes
Russia,No
Rwanda,No
Samoa,Yes
San Marino,Yes
Sao Tome and Principe,Yes
Saudi Arabia,No
Senegal,Yes
Serbia,No
Seychelles,Yes
Sierra Leone,Yes
Singapore,No
Slovakia,Yes
Slovenia,Yes
Solomon Islands,Yes
Somalia,No
South Africa,Yes
South Korea,Yes
South Sudan,No
Spain,Yes
Sri Lanka,Yes
St. Kitts and Nevis,Yes
St. Lucia,Yes
St. Vincent and the Grenadines,Yes
Sudan,No
Suriname,Yes
Sweden,Yes
Switzerland,Yes
Syria,No
Taiwan,Yes
Tajikistan,No
Tanzania,No
Thailand,No
The Gambia,No
Timor-Leste,Yes
Togo,No
Tonga,Yes
Trinidad and Tobago,Yes
Tunisia,No
Turkey,No
Turkmenistan,No
Tuvalu,Yes
Uganda,No
Ukraine,No
United Arab Emirates,No
United Kingdom,Yes
United States,Yes
Uruguay,Yes
Uzbekistan,No
Vanuatu,Yes
Venezuela,No
Vietnam,No
Yemen,No
Zambia,No
Zimbabwe,No
