election,country,ISO,year,date,office,numresponses,COUNTRYDATA,PR,CL,fhcategory,development,gdp_pc_ppp,region,region9,oecd,OVERALLINTEGRITY,PEI_add_original_m,PEI_add_original,PEI_add_new_m,PEI_add_new,PEI_concept_m,PEI_contestation_m,PEI_participation_m,PEI_deliberation_m,PEI_adjudication_m,PEI_concept,PEI_contestation,PEI_participation,PEI_deliberation,PEI_adjudication,rating,PEIindexi_original,LAWS,lawsunfair,lawsunfair2,favoredincumbent,favoredincumbent2,citizens,citizens2,certainty,changes,equal,enfranchised,laws,laws_m,laws_new,laws_new_m,PROCEDURES,managed,votinginfo,fairofficials,legalelections,procedures,procedures_m,procedures_new,procedures_new_m,BOUNDARIES,bdiscrim,bdiscrim2,bfavored,bfavored2,bimpartial,boundaries,boundaries_m,boundaries_new,boundaries_new_m,VOTERREGISTRATION,reglisted,reglisted2,reginaccurate,reginaccurate2,ineligible,ineligible2,unlikelyreg,unlikelyreg2,votereg,votereg_m,voterreg_new,voterreg_new_m,PARTYREGISTRATION,oppprevent,oppprevent2,womenopp,minorityopp,leaderselect,leaderselect2,rallies,rallies2,equalopp,partytargeted,partytargeted2,partyreg,partyreg_m,partyreg_new,partyreg_new_m,MEDIACOVERAGE,balanced,newspapers,tv,tv2,fairaccess,faircoverage,socialmedia,disinformation,disinformation2,deliberation,media,media_m,media_new,media_new_m,CAMPAIGNFINANCE,subsidies,donations,accounts,rich,rich2,resources,resources2,bribed,bribed2,finance,finance_m,finance_new,finance_new_m,VOTINGPROCESS,violence,violence2,fraudulent,fraudulent2,easy,choice,postal,disabled,expats,internet,gaps,gaps2,encouraged,identification,identification2,voting,voting_m,voting_new,voting_new_m,VOTECOUNT,secure,delay,faircount,intlmonitors,intlmonitors2,domesticmonitors,domesticmonitors2,count,count_m,count_new,count_new_m,VOTINGRESULTS,challenged,challenged2,protestspeace,protestspeace2,protestsviolent,protestsviolent2,disputes,effective,results,results_m,results_new,results_new_m,ELECTIONAUTHORITIES,impartial,info,scrutiny,performance,targeted,targeted2,EMBs,EMBs_m,EMBs_new,EMBs_new_m,ROTATING,freetovote,fearviolence,fearviolence2,ballotconfidential,freefairelect,cashforvotes,cashforvotes2,patronage,patronage2,audit,hacking,campaignnews,govtnews,fakenews,fakenews2,hatespeech,hatespeech2,informedchoices,foreigninterference,foreigninterference2,mediamonitors,cyberattacks,cyberattacks2,diversenews,journalisticstandards,partisanjournalists,partisanjournalists2,fakesocial,fakesocial2,emergency,emergency2,safetyvoters,safetyworkers,safetyworkers2,opportunitycampaign,opportunitycampaign2,incumbentcampaign,incumbentcampaign2,postponed,postponed2,hesitant,hesitant2,support,shortage,shortage2,resourced,resourced2
AFG_14062014_P2,Afghanistan,AFG,2014,14/06/2014,Presidential,6,,6,6,0,1,1875,3,3,0,,31,,,,35,36,21,57,27,33,33,21,52,27,2,32,,3,3,4,3,3,3,,,,,61,51,,,,2,3,2,2,24,24,24,24,,3,3,4,3,3,42,42,42,42,,4,2,4,2,5,1,,,18,19,,,,4,2,2,3,4,2,3,3,,,,35,32,,,,3,3,3,3,4,4,4,,,,61,61,,,,2,2,2,4,2,4,2,,,13,22,,,,5,1,5,1,3,4,1,2,2,1,,,,,,29,31,,,,2,2,1,4,3,4,2,20,23,20,23,,5,1,4,3,4,2,3,,26,26,,,,2,3,2,2,,,29,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG_20102018_L1,Afghanistan,AFG,2018,20/10/2018,Legislative,8,,5,6,0,1,1804,3,3,0,,29,,,,39,45,15,67,29,40,44,19,68,29,3,36,,3,3,3,3,4,2,,,,,50,42,,,,1,2,3,2,26,26,26,26,,4,2,3,3,2,36,32,36,32,,5,1,4,2,4,2,,,14,17,,,,4,2,3,4,3,4,2,4,,,,56,59,,,,4,4,3,3,3,4,5,,,,69,70,,,,3,2,2,4,2,4,2,4,2,34,32,33,32,,5,2,5,1,2,4,2,2,1,1,,,,,,20,24,,,,2,1,2,4,2,4,3,26,27,26,27,,4,2,3,3,3,3,2,,34,34,,,,2,2,2,2,,,24,22,,,,,,,,,,,,,,,,,3,3,2,2,3,4,4,3,2,2,3,4,3,3,3,3,,,,,,,,,,,,,,,,,,
AFG_28092019_P1,Afghanistan,AFG,2019,28/09/2019,Presidential,2,,5,6,0,1,2152,3,3,0,,27,,,,40,47,9,78,28,40,47,9,78,28,4,36,,3,3,4,2,3,3,,,,,42,42,,,,2,3,3,2,31,31,31,31,,3,3,3,3,3,50,50,50,50,,5,1,5,2,4,3,,,17,17,,,,3,4,4,4,2,4,3,3,,,,63,63,,,,4,4,3,4,4,4,5,,,,75,75,,,,2,2,2,4,3,5,1,4,2,20,20,21,21,,5,1,5,1,3,5,1,2,1,1,,,,,,33,25,,,,2,1,2,3,3,3,4,28,28,28,28,,5,1,5,2,3,3,2,,19,19,,,,2,3,2,2,,,31,31,,,,,,,,,,,,,,,,,2,2,3,3,4,4,4,4,2,2,5,4,3,3,4,4,,,,,,,,,,,,,,,,,,
ALB_23062013_L1,Albania,ALB,2013,23/06/2013,Legislative,19,,3,3,1,2,10584,4,5,0,,53,50,,,53,42,47,53,70,53,41,49,51,71,6,54,,4,2,3,3,2,4,,,,,52,52,,,,4,4,3,4,65,65,65,65,,3,3,3,3,3,55,56,55,56,,2,4,3,3,3,3,,,59,60,,,,2,4,2,3,4,2,3,3,,,,49,49,,,,2,2,3,3,3,2,4,,,,44,46,,,,3,2,1,4,2,4,2,,,26,27,,,,3,3,3,3,4,4,3,2,3,1,,,,,,58,51,,,,4,3,4,1,5,1,5,75,76,75,76,,2,4,2,4,1,5,4,,78,79,,,,3,4,3,3,,,56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB_25062017_L1,Albania,ALB,2017,25/06/2017,Legislative,17,,3,3,1,3,11929,4,5,0,,51,48,,,50,41,41,49,67,50,41,45,47,66,6,53,,4,2,4,3,3,3,,,,,38,38,,,,4,4,3,4,65,64,65,64,,4,2,3,3,3,40,41,40,41,,2,4,2,4,3,3,,,72,71,,,,2,4,3,4,5,1,3,3,,,,51,51,,,,3,3,3,3,3,2,4,,,,47,48,,,,3,3,2,4,2,4,3,4,2,38,39,36,37,,3,4,4,3,4,3,3,3,2,1,,,,,,45,49,,,,4,4,3,2,4,2,4,66,66,66,66,,3,3,2,4,2,4,4,,71,71,,,,3,4,3,3,,,57,57,,,,,,,4,,,,,,14,15,3,8,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB_25042021_L1,Albania,ALB,2021,25/04/2021,Legislative,7,,3,3,1,3,15646,4,5,0,,40,35,,,38,29,31,45,48,36,28,32,35,48,4,42,,5,1,5,1,4,2,,,,,17,14,,,,2,3,3,3,46,43,46,43,,5,1,5,2,2,19,18,19,18,,3,3,3,3,3,3,,,57,59,,,,2,4,4,4,5,1,3,3,,,,50,53,,,,2,2,4,2,2,2,4,,,,31,31,,,,2,3,2,5,1,5,1,4,2,20,22,19,20,,3,3,4,2,4,4,3,3,1,3,,,,,,43,43,,,,4,3,2,2,4,3,4,58,57,58,57,,4,2,3,3,2,4,3,,46,46,,,,3,3,3,3,,,51,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA_17042014_P1,Algeria,DZA,2014,17/04/2014,Presidential,8,,6,5,0,3,14203,1,8,0,,44,40,,,44,30,62,40,44,44,29,63,40,43,4,43,,4,2,4,2,4,2,,,,,25,25,,,,3,4,3,3,55,49,55,49,,3,3,3,3,2,37,37,37,37,,4,2,4,2,3,3,,,33,36,,,,3,3,3,3,4,2,4,2,,,,33,35,,,,3,3,4,2,2,3,4,,,,44,44,,,,3,2,2,4,2,4,2,,,21,25,,,,3,3,4,3,4,3,3,3,5,2,,,,,,71,59,,,,3,4,3,3,3,3,3,61,59,61,59,,4,2,3,3,2,4,3,,42,47,,,,2,3,2,2,,,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA_04052017_L1,Algeria,DZA,2017,04/05/2017,Legislative,12,,6,5,0,3,15075,1,8,0,,38,45,,,43,34,55,41,42,43,35,57,41,41,4,43,,3,3,4,2,3,3,,,,,36,36,,,,3,3,3,3,47,47,47,47,,3,3,4,3,3,45,45,45,45,,4,3,3,3,3,3,,,42,41,,,,3,3,3,4,3,3,4,2,,,,42,44,,,,3,3,4,2,3,3,4,,,,44,46,,,,3,2,2,4,2,4,2,4,2,27,26,25,27,,3,3,4,2,4,3,3,2,4,2,,,,,,54,52,,,,3,3,3,3,3,3,3,44,44,44,44,,4,2,3,3,2,4,3,,52,50,,,,2,3,2,2,,,34,36,,,,,,,3,,,,,,42,42,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA_12122019_P1,Algeria,DZA,2019,12/12/2019,Presidential,4,,6,5,0,2,12008,1,8,0,,50,,,,51,45,62,40,57,49,42,64,40,57,5,47,,4,2,4,2,4,2,,,,,27,27,,,,3,4,3,4,59,59,59,59,,2,4,2,4,4,75,75,75,75,,3,4,3,4,3,4,,,63,63,,,,4,3,4,4,4,2,3,3,,,,65,48,,,,4,4,4,2,3,4,2,,,,45,46,,,,3,3,3,4,3,4,2,4,3,35,39,35,39,,2,4,4,2,4,2,2,3,4,2,,,,,,58,53,,,,3,4,3,3,3,3,3,55,53,55,53,,3,3,3,3,2,4,3,,56,56,,,,3,4,3,3,,,52,52,,,,,,,,,,,,,,,,,2,2,2,2,4,2,2,3,2,2,3,4,4,4,3,3,,,,,,,,,,,,,,,,,,
AGO_31082012_L1,Angola,AGO,2012,31/08/2012,Legislative,11,,6,5,0,3,6109,1,1,0,,33,43,,,34,32,29,41,33,34,33,32,41,30,,36,,4,2,4,2,3,3,,,,,26,27,,,,2,3,2,3,36,37,36,37,,4,2,4,2,3,31,35,31,35,,4,2,4,2,4,2,,,22,20,,,,3,3,3,4,4,2,3,3,,,,46,47,,,,2,2,4,2,2,2,4,,,,33,32,,,,2,2,2,4,2,4,2,,,24,23,,,,3,3,4,2,3,4,2,2,2,1,,,,,,42,40,,,,2,4,2,4,2,5,2,36,33,36,33,,4,2,4,2,2,4,3,,40,43,,,,2,3,2,2,,,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
