election,country,ISO,year,date,office,numresponses,COUNTRYDATA,PR,CL,fhcategory,development,gdp_pc_ppp,region,region9,oecd,OVERALLINTEGRITY,PEI_add_original_m,PEI_add_original,PEI_add_new_m,PEI_add_new,PEI_concept_m,PEI_contestation_m,PEI_participation_m,PEI_deliberation_m,PEI_adjudication_m,PEI_concept,PEI_contestation,PEI_participation,PEI_deliberation,PEI_adjudication,rating,LAWS,lawsunfair,lawsunfair2,favoredincumbent,favoredincumbent2,citizens,citizens2,certainty,changes,equal,enfranchised,laws,laws_m,laws_new,laws_new_m,PROCEDURES,managed,votinginfo,fairofficials,legalelections,procedures,procedures_m,procedures_new,procedures_new_m,BOUNDARIES,bdiscrim,bdiscrim2,bfavored,bfavored2,bimpartial,boundaries,boundaries_m,boundaries_new,boundaries_new_m,VOTERREGISTRATION,reglisted,reglisted2,reginaccurate,reginaccurate2,ineligible,ineligible2,unlikelyreg,unlikelyreg2,votereg,votereg_m,voterreg_new,voterreg_new_m,PARTYREGISTRATION,oppprevent,oppprevent2,womenopp,minorityopp,leaderselect,leaderselect2,rallies,rallies2,equalopp,partytargeted,partytargeted2,partyreg,partyreg_m,partyreg_new,partyreg_new_m,MEDIACOVERAGE,balanced,tv,tv2,fairaccess,faircoverage,socialmedia,disinformation,disinformation2,informed,media,media_m,media_new,media_new_m,CAMPAIGNFINANCE,subsidies,donations,accounts,rich,rich2,resources,resources2,bribed,bribed2,finance,finance_m,finance_new,finance_new_m,VOTINGPROCESS,violence,violence2,fraudulent,fraudulent2,easy,choice,disabled,expats,internet,gaps,gaps2,encouraged,identification,identification2,voting,voting_m,voting_new,voting_new_m,VOTECOUNT,secure,delay,faircount,intlmonitors,intlmonitors2,domesticmonitors,domesticmonitors2,count,count_m,count_new,count_new_m,VOTINGRESULTS,challenged,challenged2,protestspeace,protestspeace2,protestsviolent,protestsviolent2,disputes,effective,results,results_m,results_new,results_new_m,ELECTIONAUTHORITIES,impartial,info,scrutiny,performance,targeted,targeted2,EMBs,EMBs_m,EMBs_new,EMBs_new_m,GENERALQUESTIONS,familiarity,important,ORGCONFIDENCE,courts,government,parliament,armedforces,electoralauth,BACKGROUND,expertdomestic,currentlylive,electionlive,employment,public,university,nonprofit,agency,private,occupation,agegroup,sex,education,born,lived,candidate,rep,activist,ngo,voted,norole,monitor,monitorint,official,citizen,leftrightscale,difficulty,VIGNETTES,vignettea,vignetteb,vignettec,vignetted,vignettee,vignettef,ROTATING,freetovote,fearviolence,fearviolence2,ballotconfidential,freefairelect,cashforvotes,cashforvotes2,patronage,patronage2,audit,hacking,campaignnews,govtnews,fakenews,fakenews2,hatespeech,hatespeech2,informedchoices,foreigninterference,foreigninterference2,mediamonitors,cyberattacks,cyberattacks2,diversenews,journalisticstandards,partisanjournalists,partisanjournalists2,fakesocial,fakesocial2,emergency,emergency2,safetyvoters,safetyworkers,safetyworkers2,opportunitycampaign,opportunitycampaign2,incumbentcampaign,incumbentcampaign2,postponed,postponed2,hesitant,hesitant2,support,shortage,shortage2,resourced,resourced2
AFG_14062014_P2,Afghanistan,AFG,2014.0,2014-06-14,Presidential,6.0,,6,6,0,1,1875.4474,3,3,0,,30.846088,,,,35.2853,35.805553,21.354166,56.666668,27.314816,33.32176,32.708332,21.180555,52.083332,27.314816,2.3333333,,2.6666667,3.3333333,3.5,2.5,2.6666667,3.3333333,,,,,61.11111,51.38889,,,,1.6666666,2.8333333,1.6666666,1.6666666,23.958334,23.958334,23.958334,23.958334,,3.0,3.0,3.5,2.5,2.5,41.666664,41.666668,41.666664,41.666668,,4.0,2.0,4.1666665,1.8333334,4.6,1.4,,,18.333332,18.61111,,,,3.6,2.4,1.5,2.5,3.6,2.4,3.4,2.6,,,,35.0,32.0,,,,2.6666667,2.8,3.2,3.6,3.8,4.0,,,,61.25,61.333332,,,,1.6666666,2.0,2.0,4.1666665,1.8333334,4.2,1.8,,,12.5,21.5,,,,4.6666665,1.3333334,4.8333335,1.1666666,3.1666667,3.6,2.25,2.0,1.3333334,,,,,,29.166668,31.319445,,,,1.5,2.0,1.4,3.5,2.5,3.8333333,2.1666667,20.0,22.833334,20.0,22.833334,,4.8333335,1.1666666,3.5,2.5,4.0,2.0,2.5,,26.041666,26.041666,,,,2.0,2.8,1.6666666,1.8333334,,,28.75,26.875,,,,8.0,,,3.1666667,2.8333333,4.0,4.5,3.5,,,,,3.0,0.16666667,1.0,0.16666667,0.16666667,0.16666667,,,,,,,0.0,0.0,0.0,0.0,0.0,0.8333333,0.16666667,0.16666667,0.16666667,0.0,4.5,8.0,,4.5,7.8333335,7.6666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG_20102018_L1,Afghanistan,AFG,2018.0,2018-10-20,Legislative,8.0,,5,6,0,1,1803.9874267578125,3,3,0,,28.932823,,,,38.68663,44.64732,14.588294,66.74107,28.76984,40.008682,43.671875,19.401043,67.96875,28.993055,3.0,,3.0,3.0,3.25,2.75,3.6666667,2.3333333,,,,,50.0,42.36111,,,,1.4285715,2.0,2.5714285,2.142857,25.892857,25.892857,25.892857,25.892857,,4.25,1.75,3.3333333,2.6666667,2.4,36.11111,31.805557,36.11111,31.805557,,4.571429,1.4285715,4.0,2.0,4.428571,1.5714285,,,14.285714,16.666666,,,,3.625,2.375,3.375,3.75,2.5,3.5,2.2857144,3.7142856,,,,56.25,58.571426,,,,3.75,2.5714285,3.4285715,3.125,4.125,4.571429,,,,69.166664,70.0,,,,2.8,2.2857144,1.875,3.8333333,2.1666667,3.7142856,2.2857144,3.75,2.25,33.75,32.065475,33.333336,31.929564,,4.5,1.5,4.857143,1.1428572,2.25,3.75,2.0,1.2,1.1666666,,,,,,20.0,24.345238,,,,2.25,1.25,1.875,3.5714285,2.4285715,3.5,2.5,26.428572,26.517857,26.428572,26.517857,,4.0,2.0,3.25,2.75,3.25,2.75,2.0,,34.375,34.375,,,,1.75,2.2857144,2.0,1.5,,,24.107143,22.098215,,,,9.375,,,2.875,3.375,3.25,6.375,2.5,,,,,3.0,0.375,0.75,0.375,0.25,0.125,,,,,,,0.0,0.125,0.0,0.0,0.25,0.375,0.0,0.375,0.25,0.375,3.75,7.625,,,,,5.125,4.125,2.5,,,,,,,,,,,,,,,2.625,2.625,2.2,2.2,3.4285715,3.6666667,3.6666667,3.25,2.4,2.4,3.25,3.5,2.875,2.875,3.2857144,3.2857144,,,,,,,,,,,,,,,,,,
AFG_28092019_P1,Afghanistan,AFG,2019.0,2019-09-28,Presidential,2.0,,5,6,0,1,2152.1902428294497,3,3,0,,27.040817,,,,40.399303,46.666668,9.027778,78.125,27.777777,40.46875,46.770836,9.201389,78.125,27.777777,3.5,,3.0,3.0,4.0,2.0,3.0,3.0,,,,,41.666664,41.666664,,,,1.5,3.0,2.5,2.0,31.25,31.25,31.25,31.25,,3.0,3.0,3.0,3.0,3.0,50.0,50.0,50.0,50.0,,5.0,1.0,4.5,1.5,3.5,2.5,,,16.666666,16.666666,,,,2.5,3.5,3.5,3.5,2.0,4.0,3.0,3.0,,,,62.5,62.5,,,,4.0,2.5,3.5,3.5,4.0,5.0,,,,75.0,75.0,,,,2.0,2.0,1.5,3.5,2.5,5.0,1.0,4.0,2.0,20.0,20.0,20.833334,20.833334,,5.0,1.0,5.0,1.0,2.5,4.5,2.0,1.0,1.0,,,,,,33.333332,25.0,,,,1.5,1.0,1.5,3.0,3.0,2.5,3.5,27.5,27.5,27.5,27.5,,5.0,1.0,4.5,1.5,3.0,3.0,1.5,,18.75,18.75,,,,2.0,3.0,2.0,2.0,,,31.25,31.25,,,,10.0,,,2.5,3.5,3.0,3.5,3.0,,,,,2.0,0.0,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,9.0,,,,,9.5,5.0,1.5,,,,,,,,,,,,,,,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4.5,4.0,3.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,
ALB_23062013_L1,Albania,ALB,2013.0,2013-06-23,Legislative,19.0,,3,3,1,2,10584.447,4,5,0,,53.325325,50.0,,,52.775856,41.547646,47.45934,52.540203,69.556244,53.042305,41.24452,49.06798,51.31579,70.54094,6.4210525,,3.5263157,2.4736843,3.1052632,2.8947368,2.1578948,3.8421052,,,,,51.754387,51.754387,,,,3.5789473,3.6842105,3.4210527,3.6842105,64.802635,64.802635,64.802635,64.802635,,2.8,3.2,2.6,3.4,3.090909,55.0,55.757576,55.0,55.757576,,2.3333333,3.6666667,2.5789473,3.4210527,2.9444444,3.0555556,,,59.25926,59.52729,,,,1.9444444,4.0555553,2.2105262,3.4736843,4.4210525,1.5789474,2.5263157,3.4736843,,,,49.166668,48.961987,,,,2.3888888,3.3157895,2.6842105,3.0,2.368421,3.8333333,,,,44.117645,46.374268,,,,2.9473684,2.3529413,1.4210526,4.111111,1.8888888,4.1764708,1.8235294,,,25.666666,27.168903,,,,3.1666667,2.8333333,3.1333334,2.8666666,4.105263,3.6666667,2.1875,2.5,1.3571428,,,,,,57.5,50.66429,,,,4.2222223,3.2222223,3.6111112,1.4210526,4.5789475,1.4736842,4.5263157,75.29412,75.80409,75.29412,75.80409,,1.8947369,4.105263,1.6875,4.3125,1.3529412,4.647059,3.5294118,,78.333336,78.71396,,,,2.6842105,3.8421052,3.2941177,3.1111112,,,55.882355,55.822155,,,,8.526316,,,3.5789473,4.388889,4.631579,5.263158,4.4736843,,,,,2.8823528,0.15789473,0.7368421,0.5263158,0.21052632,0.10526316,,,,,,,0.0,0.0,0.0,0.15789473,0.36842105,0.47368422,0.05263158,0.0,0.05263158,0.84210527,5.882353,9.473684,,3.4210527,6.7777777,6.9444447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB_25062017_L1,Albania,ALB,2017.0,2017-06-25,Legislative,17.0,,3,3,1,3,11928.536,4,5,0,,51.03593,48.03207,,,49.528687,40.99755,41.382404,48.965992,66.76879,49.978043,41.047794,45.098038,47.42647,66.33987,6.2352943,,4.2352943,1.7647059,3.5,2.5,2.7058823,3.2941177,,,,,37.5,37.990196,,,,3.5294118,4.1875,3.0,3.5625,65.0,64.24632,65.0,64.24632,,3.8,2.2,3.3,2.7,3.0,40.0,40.833336,40.0,40.833336,,1.9166666,4.0833335,2.0769231,3.9230769,2.5384614,3.4615386,,,71.52778,70.56624,,,,2.3333333,3.6666667,3.3529413,3.6470587,4.875,1.125,2.5625,3.4375,,,,51.07143,51.145832,,,,2.6875,3.3529413,2.6470587,3.1176472,2.4117646,3.7333333,,,,46.785713,47.98652,,,,3.2666667,2.9333334,1.882353,3.8125,2.1875,3.5,2.5,3.8823528,2.1176472,38.076923,38.849266,35.897434,37.03125,,2.5,3.5,3.5,2.5,4.1764708,3.25,2.857143,1.5,1.2857143,,,,,,44.907406,49.09839,,,,3.764706,3.5882354,3.1176472,2.125,3.875,2.0588236,3.9411764,66.25,66.43382,66.25,66.43382,,2.8823528,3.1176472,1.9375,4.0625,1.5882353,4.4117646,3.8235295,,71.09375,71.346504,,,,2.8235295,3.8823528,3.0625,3.4117646,,,57.421875,57.37592,,,,9.0,,,3.4705882,4.352941,4.647059,6.2352943,5.2352943,,,,,2.9411764,0.05882353,0.8235294,0.3529412,0.05882353,0.05882353,,,,,,,0.0,0.0,0.05882353,0.1764706,0.5882353,0.3529412,0.0,0.0,0.0,0.9411765,4.647059,9.235294,,,,,7.470588,5.9411764,3.7058823,,,,,3.8235295,,,,,,14.0,14.823529,2.8235295,8.470589,3.0588236,3.0588236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB_25042021_L1,Albania,ALB,2021.0,2021-04-25,Legislative,7.0,,3,3,1,3,15646.041522634432,4,5,0,,40.07653,35.034016,,,38.30456,29.27976,31.478174,44.642857,47.81746,35.9003,28.422619,31.944445,34.82143,48.412697,4.0,,4.8333335,1.1666666,4.714286,1.2857143,3.7142856,2.2857144,,,,,16.666666,14.484127,,,,2.4285715,3.0,2.5714285,2.8333333,45.833332,42.708332,45.833332,42.708332,,4.6,1.4,4.5,1.5,2.25,18.75,17.916666,18.75,17.916666,,2.6666667,3.3333333,2.5714285,3.4285715,2.6666667,3.3333333,,,56.944443,59.126984,,,,2.3333333,3.6666667,3.857143,4.1666665,5.0,1.0,3.1666667,2.8333333,,,,50.0,52.61905,,,,1.5714285,4.428571,1.5714285,2.3333333,2.142857,3.6,,,,31.0,31.095238,,,,2.4285715,2.5,1.8333334,4.714286,1.2857143,4.714286,1.2857143,4.428571,1.5714285,20.0,21.666666,19.166666,20.436508,,3.4,2.6,4.0,2.0,3.5714285,4.0,2.8333333,1.4285715,3.0,,,,,,42.708336,43.47222,,,,3.8333333,3.142857,2.2857144,2.2857144,3.7142856,2.5,3.5,58.333332,57.38095,58.333332,57.38095,,4.142857,1.8571428,3.1666667,2.8333333,1.8333334,4.1666665,2.5,,45.833332,45.982143,,,,3.0,3.4285715,3.0,2.7142856,,,50.892857,50.892857,,,,9.571428,,,3.4285715,2.857143,3.2857144,4.571429,3.857143,,,,,1.0,0.2857143,0.85714287,0.71428573,0.14285715,0.0,,,,,,,0.0,0.0,0.14285715,0.14285715,0.42857143,0.2857143,0.14285715,0.0,0.0,1.0,5.857143,9.571428,,,,,6.285714,4.142857,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA_17042014_P1,Algeria,DZA,2014.0,2014-04-17,Presidential,8.0,,6,5,0,3,14202.866,1,8,0,,43.669827,40.30612,,,43.65625,29.565475,61.664185,39.84375,43.551586,43.66211,28.945312,63.151043,39.84375,42.708332,3.75,,3.875,2.125,4.375,1.625,3.75,2.25,,,,,25.0,25.0,,,,2.75,3.6666667,2.625,2.875,55.208332,49.479168,55.208332,49.479168,,3.4,2.6,3.4,2.6,2.2,36.666668,36.666664,36.666668,36.666664,,3.8,2.2,3.6666667,2.3333333,3.25,2.75,,,33.333332,35.694443,,,,3.4285715,2.5714285,2.5,2.5714285,3.5714285,2.4285715,4.0,2.0,,,,33.0,35.357143,,,,2.625,4.0,2.0,1.875,3.25,4.0,,,,43.75,43.75,,,,2.7142856,1.75,1.625,3.7142856,2.2857144,4.375,1.625,,,21.25,25.0,,,,2.8333333,3.1666667,3.5,2.5,3.875,2.875,3.0,4.714286,1.6,,,,,,70.833336,58.878967,,,,3.375,4.125,2.8,2.857143,3.142857,2.7142856,3.2857144,61.0,58.642857,61.0,58.642857,,3.75,2.25,2.875,3.125,2.375,3.625,2.5,,41.666668,46.875,,,,1.875,3.25,2.125,2.375,,,35.15625,35.15625,,,,8.5,,,3.625,3.5,3.125,4.25,3.375,,,,,2.7142856,0.125,0.875,0.125,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.375,4.25,8.875,,2.75,6.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA_04052017_L1,Algeria,DZA,2017.0,2017-05-04,Legislative,12.0,,6,5,0,3,15074.925,1,8,0,,37.816624,44.89796,,,43.158634,34.417297,55.157825,41.145832,41.91358,43.425926,35.104168,56.944443,41.145832,40.50926,4.1666665,,3.4545455,2.5454545,4.1666665,1.8333334,3.090909,2.909091,,,,,35.60606,35.732323,,,,3.0833333,2.7272727,2.7,3.0,46.875,46.941288,46.875,46.941288,,3.0,3.0,3.5,2.5,2.875,44.791664,44.791668,44.791664,44.791668,,3.5,2.5,3.3,2.7,3.3333333,2.6666667,,,41.666668,40.555557,,,,3.3333333,2.6666667,3.0,3.5833333,3.4545455,2.5454545,4.090909,1.9090909,,,,42.272728,43.522728,,,,2.75,4.0,2.0,2.5,2.8333333,4.090909,,,,44.090908,45.871212,,,,2.6666667,2.1,1.5,3.75,2.25,4.2727275,1.7272727,3.8,2.2,26.5,26.219696,25.462963,26.849747,,2.6363637,3.3636363,3.8,2.2,3.5,2.9166667,2.3333333,4.2727275,1.8571428,,,,,,54.166668,52.44318,,,,2.6666667,3.25,2.5555556,3.3,2.7,3.4444444,2.5555556,43.75,43.63889,43.75,43.63889,,4.0833335,1.9166666,2.5454545,3.4545455,1.9090909,4.090909,2.5833333,,51.704544,50.284092,,,,2.1666667,3.1666667,2.0833333,2.3636363,,,34.090908,36.126892,,,,8.181818,,,4.0833335,3.6666667,3.0,5.4166665,3.75,,,,,2.8333333,0.083333336,0.9166667,0.0,0.0,0.0,,,,,,,0.0,0.0,0.083333336,0.0,0.16666667,0.8333333,0.0,0.0,0.0,0.33333334,4.0833335,9.0,,,,,7.3333335,4.5833335,2.3333333,,,,,3.090909,,,,,,42.166668,42.416668,2.75,2.5833333,2.9166667,2.9166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA_12122019_P1,Algeria,DZA,2019.0,2019-12-12,Presidential,4.0,,6,5,0,2,12008.264830338043,1,8,0,,50.0,,,,51.006947,45.34722,61.921295,39.583336,57.175926,48.84549,42.083332,63.88889,39.583332,56.944443,4.6666665,,3.75,2.25,4.25,1.75,3.75,2.25,,,,,27.083334,27.083334,,,,3.0,4.0,2.75,3.75,59.375,59.375,59.375,59.375,,2.0,4.0,2.0,4.0,4.0,75.0,75.0,75.0,75.0,,2.5,3.5,2.5,3.5,2.5,3.5,,,62.5,62.5,,,,3.5,2.5,3.6666667,3.5,4.0,2.0,3.0,3.0,,,,65.0,48.333332,,,,3.6666667,4.0,2.0,3.3333333,3.6666667,1.5,,,,45.0,45.833332,,,,3.0,2.6666667,2.6666667,3.5,2.5,4.0,2.0,3.5,2.5,35.0,39.166668,35.416668,38.88889,,2.3333333,3.6666667,4.0,2.0,4.0,2.3333333,2.5,4.3333335,2.0,,,,,,58.333332,53.47222,,,,2.6666667,4.0,2.6666667,3.0,3.0,2.6666667,3.3333333,55.0,53.333332,55.0,53.333332,,3.3333333,2.6666667,3.0,3.0,1.6666666,4.3333335,3.0,,56.25,56.25,,,,2.6666667,3.6666667,3.0,3.0,,,52.083332,52.083336,,,,8.333333,,,5.0,5.0,4.0,6.0,4.6666665,,,,,2.0,0.0,0.75,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.25,5.3333335,9.0,,,,,9.333333,6.3333335,3.3333333,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,3.6666667,2.0,2.0,2.6666667,1.5,1.5,3.3333333,3.6666667,3.6666667,3.6666667,3.0,3.0,,,,,,,,,,,,,,,,,,
DZA_07092024_P1,Algeria,DZA,2024.0,2024-09-07,Presidential,7.0,,6,5,0,3,15159.0,1,8,0,,42.042942,61.22449,43.707756,62.903225,40.16931,33.58962,53.10615,30.952381,43.0291,38.209324,30.530754,52.217262,30.555555,43.92361,4.285714,,3.6666667,2.3333333,4.1666665,1.8333334,3.3333333,2.6666667,3.8,2.6,3.1666667,3.6666667,31.944445,31.944445,50.0,46.666668,,3.0,3.5714285,2.5,3.1666667,53.125,51.488094,53.125,51.488094,,2.6666667,3.3333333,4.25,1.75,2.25,41.666668,36.11111,41.666668,36.11111,,3.0,3.0,2.8,3.2,2.6,3.4,3.25,2.75,55.0,55.0,57.8125,52.1875,,4.142857,1.8571428,3.0,3.3333333,4.1666665,1.8333334,3.6666667,2.3333333,1.8333334,2.6666667,3.3333333,36.666668,36.785713,37.5,37.585033,,2.1666667,4.1666665,1.8333334,2.1666667,2.6666667,2.8333333,3.0,3.0,2.0,33.333332,33.333332,34.523808,34.52381,,2.2,2.0,1.8333334,3.3333333,2.6666667,4.1666665,1.8333334,3.6,2.4,29.0,27.666666,31.25,28.88889,,2.5,3.5,3.2,2.8,3.6666667,2.3333333,2.5,4.4,2.0,4.0,2.0,3.1666667,3.5,2.5,75.0,55.0,57.5,42.166668,,3.2,3.3333333,2.8,3.4,2.6,3.75,2.25,45.0,45.916668,45.0,45.916668,,3.8333333,2.1666667,2.0,4.0,1.3333334,4.6666665,3.1666667,2.4,62.5,62.5,54.0,57.0,,2.1666667,3.0,2.3333333,2.3333333,2.0,4.0,36.458332,36.458332,48.75,44.166668,,6.714286,2.0,,5.571429,4.285714,3.857143,5.714286,4.571429,,0.0,0.0,0.0,1.2857143,,1.0,,,1.0,5.714286,4.571429,0.2857143,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.14285715,0.85714287,0.0,0.0,0.0,1.0,4.285714,9.0,,4.571429,5.285714,3.142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
